nome,casa,partido,eixo,escopo,valor_pct,n_observacoes,n_oportunidades,periodo_inicio,periodo_fim,metodologia_versao,url_perfil
"Bohn Gass","camara","PT","Coesão com o próprio partido","procedimental","99.4","495","537","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/bohn-gass/"
"Carlos Gomes","camara","REPUBLICANOS","Alinhamento com o governo federal","merito","85.3","102","179","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/carlos-gomes/"
"Carlos Gomes","camara","REPUBLICANOS","Alinhamento com o governo federal","procedimental","74.8","119","185","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/carlos-gomes/"
"Carlos Gomes","camara","REPUBLICANOS","Coesão com o próprio partido","merito","97.6","126","179","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/carlos-gomes/"
"Carlos Gomes","camara","REPUBLICANOS","Coesão com o próprio partido","procedimental","96.6","146","185","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/carlos-gomes/"
"Covatti Filho","camara","PP","Alinhamento com o governo federal","merito","36.2","354","552","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/covatti-filho/"
"Covatti Filho","camara","PP","Alinhamento com o governo federal","procedimental","31.9","288","511","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/covatti-filho/"
"Covatti Filho","camara","PP","Coesão com o próprio partido","merito","57.3","429","552","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/covatti-filho/"
"Covatti Filho","camara","PP","Coesão com o próprio partido","procedimental","50.4","373","511","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/covatti-filho/"
"Daiana Santos","camara","PCdoB","Alinhamento com o governo federal","merito","95.1","348","578","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/daiana-santos/"
"Daiana Santos","camara","PCdoB","Alinhamento com o governo federal","procedimental","97.6","335","537","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/daiana-santos/"
"Daiana Santos","camara","PCdoB","Coesão com o próprio partido","merito","97.3","442","578","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/daiana-santos/"
"Daiana Santos","camara","PCdoB","Coesão com o próprio partido","procedimental","98.1","427","537","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/daiana-santos/"
"Daniel Trzeciak","camara","PSDB","Alinhamento com o governo federal","merito","49.1","395","578","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/daniel-trzeciak/"
"Daniel Trzeciak","camara","PSDB","Alinhamento com o governo federal","procedimental","51.0","335","537","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/daniel-trzeciak/"
"Daniel Trzeciak","camara","PSDB","Coesão com o próprio partido","merito","72.3","488","578","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/daniel-trzeciak/"
"Daniel Trzeciak","camara","PSDB","Coesão com o próprio partido","procedimental","65.7","440","537","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/daniel-trzeciak/"
"Danrlei de Deus Hinterholz","camara","PSD","Alinhamento com o governo federal","merito","53.0","185","344","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/danrlei-de-deus-hinterholz/"
"Danrlei de Deus Hinterholz","camara","PSD","Alinhamento com o governo federal","procedimental","40.8","147","328","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/danrlei-de-deus-hinterholz/"
"Danrlei de Deus Hinterholz","camara","PSD","Coesão com o próprio partido","merito","70.4","240","344","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/danrlei-de-deus-hinterholz/"
"Danrlei de Deus Hinterholz","camara","PSD","Coesão com o próprio partido","procedimental","61.8","207","328","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/danrlei-de-deus-hinterholz/"
"Denise Pessôa","camara","PT","Alinhamento com o governo federal","merito","96.0","403","578","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/denise-pessoa/"
"Denise Pessôa","camara","PT","Alinhamento com o governo federal","procedimental","98.1","367","537","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/denise-pessoa/"
"Denise Pessôa","camara","PT","Coesão com o próprio partido","merito","97.1","514","578","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/denise-pessoa/"
"Denise Pessôa","camara","PT","Coesão com o próprio partido","procedimental","98.3","481","537","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/denise-pessoa/"
"Fernanda Melchionna","camara","PSOL","Alinhamento com o governo federal","merito","83.1","360","578","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/fernanda-melchionna/"
"Fernanda Melchionna","camara","PSOL","Alinhamento com o governo federal","procedimental","87.7","300","537","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/fernanda-melchionna/"
"Fernanda Melchionna","camara","PSOL","Coesão com o próprio partido","merito","98.0","458","578","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/fernanda-melchionna/"
"Fernanda Melchionna","camara","PSOL","Coesão com o próprio partido","procedimental","98.0","402","537","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/fernanda-melchionna/"
"Franciane Bayer","camara","REPUBLICANOS","Alinhamento com o governo federal","merito","57.8","396","578","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/franciane-bayer/"
"Franciane Bayer","camara","REPUBLICANOS","Alinhamento com o governo federal","procedimental","64.2","358","537","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/franciane-bayer/"
"Franciane Bayer","camara","REPUBLICANOS","Coesão com o próprio partido","merito","80.0","509","578","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/franciane-bayer/"
"Franciane Bayer","camara","REPUBLICANOS","Coesão com o próprio partido","procedimental","83.1","472","537","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/franciane-bayer/"
"Giovani Cherini","camara","PL","Alinhamento com o governo federal","merito","33.8","385","578","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/giovani-cherini/"
"Giovani Cherini","camara","PL","Alinhamento com o governo federal","procedimental","22.4","335","537","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/giovani-cherini/"
"Giovani Cherini","camara","PL","Coesão com o próprio partido","merito","93.4","488","578","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/giovani-cherini/"
"Giovani Cherini","camara","PL","Coesão com o próprio partido","procedimental","92.2","434","537","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/giovani-cherini/"
"Heitor Schuch","camara","PSD","Alinhamento com o governo federal","merito","88.1","277","578","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/heitor-schuch/"
"Heitor Schuch","camara","PSD","Alinhamento com o governo federal","procedimental","92.1","239","537","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/heitor-schuch/"
"Heitor Schuch","camara","PSD","Coesão com o próprio partido","merito","92.7","330","578","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/heitor-schuch/"
"Heitor Schuch","camara","PSD","Coesão com o próprio partido","procedimental","94.4","303","537","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/heitor-schuch/"
"Lucas Redecker","camara","PSD","Alinhamento com o governo federal","merito","42.4","427","578","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/lucas-redecker/"
"Lucas Redecker","camara","PSD","Alinhamento com o governo federal","procedimental","41.9","389","537","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/lucas-redecker/"
"Lucas Redecker","camara","PSD","Coesão com o próprio partido","merito","64.3","540","578","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/lucas-redecker/"
"Lucas Redecker","camara","PSD","Coesão com o próprio partido","procedimental","57.3","506","537","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/lucas-redecker/"
"Luiz Carlos Busato","camara","UNIÃO","Alinhamento com o governo federal","merito","77.2","395","578","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/luiz-carlos-busato/"
"Luiz Carlos Busato","camara","UNIÃO","Alinhamento com o governo federal","procedimental","79.3","367","537","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/luiz-carlos-busato/"
"Luiz Carlos Busato","camara","UNIÃO","Coesão com o próprio partido","merito","91.9","495","578","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/luiz-carlos-busato/"
"Luiz Carlos Busato","camara","UNIÃO","Coesão com o próprio partido","procedimental","94.7","471","537","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/luiz-carlos-busato/"
"Marcel van Hattem","camara","NOVO","Alinhamento com o governo federal","merito","27.7","404","578","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/marcel-van-hattem/"
"Marcel van Hattem","camara","NOVO","Alinhamento com o governo federal","procedimental","12.5","345","537","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/marcel-van-hattem/"
"Marcel van Hattem","camara","NOVO","Coesão com o próprio partido","merito","99.2","513","578","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/marcel-van-hattem/"
"Marcel van Hattem","camara","NOVO","Coesão com o próprio partido","procedimental","99.8","462","537","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/marcel-van-hattem/"
"Marcelo Moraes","camara","PL","Alinhamento com o governo federal","merito","31.1","338","578","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/marcelo-moraes/"
"Marcelo Moraes","camara","PL","Alinhamento com o governo federal","procedimental","16.7","282","537","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/marcelo-moraes/"
"Marcelo Moraes","camara","PL","Coesão com o próprio partido","merito","94.0","434","578","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/marcelo-moraes/"
"Marcelo Moraes","camara","PL","Coesão com o próprio partido","procedimental","91.0","378","537","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/marcelo-moraes/"
"Marcon","camara","PT","Alinhamento com o governo federal","merito","94.5","401","578","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/marcon/"
"Marcon","camara","PT","Alinhamento com o governo federal","procedimental","96.7","359","537","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/marcon/"
"Marcon","camara","PT","Coesão com o próprio partido","merito","95.6","496","578","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/marcon/"
"Marcon","camara","PT","Coesão com o próprio partido","procedimental","97.8","464","537","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/marcon/"
"Maria do Rosário","camara","PT","Alinhamento com o governo federal","merito","95.1","346","578","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/maria-do-rosario/"
"Maria do Rosário","camara","PT","Alinhamento com o governo federal","procedimental","97.9","285","537","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/maria-do-rosario/"
"Maria do Rosário","camara","PT","Coesão com o próprio partido","merito","96.8","431","578","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/maria-do-rosario/"
"Maria do Rosário","camara","PT","Coesão com o próprio partido","procedimental","98.9","373","537","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/maria-do-rosario/"
"Mauricio Marcon","camara","PL","Alinhamento com o governo federal","merito","28.8","416","578","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/mauricio-marcon/"
"Mauricio Marcon","camara","PL","Alinhamento com o governo federal","procedimental","20.4","388","537","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/mauricio-marcon/"
"Mauricio Marcon","camara","PL","Coesão com o próprio partido","merito","51.3","526","578","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/mauricio-marcon/"
"Mauricio Marcon","camara","PL","Coesão com o próprio partido","procedimental","44.5","499","537","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/mauricio-marcon/"
"Márcio Biolchi","camara","MDB","Alinhamento com o governo federal","merito","83.2","316","578","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/marcio-biolchi/"
"Márcio Biolchi","camara","MDB","Alinhamento com o governo federal","procedimental","78.1","310","537","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/marcio-biolchi/"
"Márcio Biolchi","camara","MDB","Coesão com o próprio partido","merito","90.2","409","578","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/marcio-biolchi/"
"Márcio Biolchi","camara","MDB","Coesão com o próprio partido","procedimental","91.6","391","537","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/marcio-biolchi/"
"Osmar Terra","camara","PL","Alinhamento com o governo federal","merito","30.3","357","578","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/osmar-terra/"
"Osmar Terra","camara","PL","Alinhamento com o governo federal","procedimental","22.8","303","537","2023-02-01","2026-09-10","2026-08-11.2","https://raulmdrs.github.io/bussola-civica/parlamentares/osmar-terra/"
